avg_rtt,max_rtt,std_rtt,moving_avg,rtt_change_rate,is_anomaly
3.28,4.36,0.47,3.28,7.06,0
3.27,4.36,0.48,3.27,4.95,0
3.3,4.36,0.47,3.3,14.24,0
3.23,4.36,0.54,3.23,26.44,0
3.28,4.83,0.64,3.28,99.59,0
3.21,4.83,0.63,3.21,39.13,0
3.19,4.83,0.65,3.19,18.71,0
3.13,4.83,0.66,3.13,15.48,0
3.06,4.83,0.65,3.06,2.54,0
2.96,4.83,0.69,2.96,19.79,0
2.92,4.83,0.7,2.92,14.1,0
2.93,4.83,0.7,2.93,14.67,0
2.81,4.83,0.73,2.81,29.63,0
2.87,4.83,0.72,2.87,44.98,0
2.74,3.56,0.41,2.74,17.49,0
2.67,3.56,0.43,2.67,38.76,0
2.66,3.56,0.44,2.66,6.42,0
2.65,3.56,0.44,2.65,15.52,0
2.64,3.56,0.43,2.64,2.61,0
2.73,3.56,0.43,2.73,12.36,0
2.71,3.56,0.44,2.71,22.01,0
2.74,3.56,0.48,2.74,38.59,0
2.99,4.58,0.68,2.99,37.13,0
2.88,4.58,0.76,2.88,59.17,0
2.78,4.58,0.73,2.78,35.29,0
2.74,4.58,0.76,2.74,27.67,0
2.85,4.58,0.77,2.85,87.43,0
2.95,4.58,0.8,2.95,6.12,0
2.93,4.58,0.81,2.93,28.02,0
2.86,4.58,0.83,2.86,11.07,0
2.91,4.58,0.81,2.91,25.32,0
2.86,4.58,0.8,2.86,1.71,0
2.78,3.77,0.65,2.78,31.36,0
2.84,3.77,0.59,2.84,34.75,0
2.84,3.77,0.59,2.84,2.85,0
2.99,3.77,0.49,2.99,32.02,0
2.92,3.77,0.48,2.92,18.56,0
2.87,3.77,0.42,2.87,15.44,0
2.88,3.77,0.41,2.88,12.1,0
2.95,3.77,0.37,2.95,9.78,0
2.85,3.77,0.49,2.85,37.95,0
2.81,3.77,0.5,2.81,31.91,0
2.78,3.5,0.46,2.78,41.13,0
2.76,3.5,0.48,2.76,36.0,0
2.83,3.5,0.49,2.83,44.2,0
2.75,3.5,0.46,2.75,20.74,0
2.75,3.5,0.46,2.75,3.91,0
2.74,3.5,0.46,2.74,16.54,0
2.71,3.5,0.47,2.71,22.9,0
2.75,3.5,0.51,2.75,43.1,0
2.86,3.5,0.43,2.86,11.99,0
2.96,3.5,0.44,2.96,15.61,0
2.92,3.48,0.41,2.92,10.06,0
2.97,3.48,0.35,2.97,13.74,0
2.92,3.48,0.35,2.92,1.48,0
2.86,3.48,0.44,2.86,27.74,0
2.9,3.48,0.44,2.9,55.56,0
2.79,3.48,0.52,2.79,37.34,0
2.88,3.48,0.52,2.88,71.5,0
2.76,3.48,0.52,2.76,32.63,0
2.84,3.79,0.6,2.84,69.96,0
2.74,3.79,0.57,2.74,34.83,0
2.81,3.85,0.66,2.81,55.87,0
2.88,3.85,0.68,2.88,11.95,0
2.97,3.85,0.72,2.97,9.44,0
3.25,4.71,0.8,3.25,26.95,0
3.29,4.71,0.8,3.29,24.84,0
3.41,4.71,0.67,3.41,12.15,0
3.32,4.71,0.74,3.32,24.44,0
3.46,4.71,0.65,3.46,55.32,0
3.39,4.71,0.65,3.39,13.42,0
