avg_rtt,max_rtt,std_rtt,moving_avg,rtt_change_rate,is_anomaly
1.31,2.4,0.51,1.31,31.09,0
1.32,2.4,0.51,1.32,61.13,0
1.3,2.4,0.52,1.3,5.79,0
1.25,2.4,0.51,1.25,15.56,0
1.23,2.4,0.51,1.23,1.09,0
1.23,2.4,0.5,1.23,42.09,0
1.19,2.4,0.5,1.19,56.38,0
1.18,2.4,0.52,1.18,40.73,0
1.17,2.4,0.52,1.17,47.33,0
1.06,2.4,0.48,1.06,23.97,0
0.94,1.24,0.21,0.94,78.8,0
0.97,1.26,0.23,0.97,1.44,0
0.95,1.26,0.24,0.95,40.7,0
1.01,1.73,0.33,1.01,131.56,0
0.96,1.73,0.34,0.96,58.97,0
0.97,1.73,0.33,0.97,10.52,0
0.95,1.73,0.33,0.95,3.95,0
0.97,1.73,0.32,0.97,0.5,0
0.96,1.73,0.32,0.96,4.51,0
0.94,1.73,0.34,0.94,35.06,0
0.88,1.73,0.34,0.88,22.86,0
0.85,1.73,0.32,0.85,57.24,0
0.86,1.73,0.31,0.86,17.72,0
0.75,0.98,0.12,0.75,16.27,0
0.75,0.98,0.12,0.75,4.37,0
0.76,0.98,0.12,0.76,18.18,0
0.81,1.4,0.23,0.81,68.34,0
0.81,1.4,0.23,0.81,47.22,0
0.79,1.4,0.24,0.79,16.19,0
0.79,1.4,0.24,0.79,13.71,0
0.88,1.47,0.3,0.88,174.23,0
0.91,1.47,0.33,0.91,8.97,0
0.95,1.47,0.34,0.95,8.99,0
0.96,1.47,0.34,0.96,38.45,0
0.97,1.47,0.33,0.97,4.3,0
0.98,1.47,0.33,0.98,27.16,0
0.91,1.47,0.31,0.91,31.53,0
0.98,1.47,0.33,0.98,105.78,0
1.02,1.47,0.31,1.02,27.05,0
1.22,2.55,0.52,1.22,149.85,0
1.19,2.55,0.51,1.19,53.14,0
1.2,2.55,0.52,1.2,21.36,0
1.13,2.55,0.56,1.13,65.1,0
1.16,2.55,0.54,1.16,105.04,0
1.15,2.55,0.55,1.15,39.17,0
1.27,2.55,0.64,1.27,254.02,0
1.42,2.55,0.65,1.42,4.44,0
1.44,2.55,0.66,1.44,21.57,0
1.47,2.55,0.65,1.47,25.08,0
1.35,2.24,0.54,1.35,8.98,0
1.28,2.24,0.59,1.28,61.51,0
1.4,2.58,0.71,1.4,390.04,0
1.43,2.58,0.68,1.43,68.55,0
1.41,2.58,0.68,1.41,11.37,0
1.51,2.58,0.63,1.51,74.13,0
1.48,2.58,0.6,1.48,22.05,0
1.35,2.58,0.58,1.35,54.65,0
1.3,2.58,0.57,1.3,40.33,0
1.27,2.58,0.59,1.27,26.75,0
1.22,2.58,0.59,1.22,3.89,0
1.42,2.58,0.65,1.42,167.87,0
1.3,2.49,0.53,1.3,44.73,0
1.47,2.49,0.61,1.47,80.46,0
1.46,2.49,0.62,1.46,68.41,0
1.56,2.63,0.71,1.56,235.12,0
1.5,2.63,0.7,1.5,48.54,0
1.69,2.69,0.75,1.69,98.54,0
1.85,2.83,0.8,1.85,5.36,0
1.86,2.83,0.79,1.86,64.99,0
1.92,2.83,0.74,1.92,58.99,0
1.93,2.83,0.75,1.93,65.32,0
1.93,2.83,0.75,1.93,47.3,0
1.77,2.83,0.78,1.77,35.37,0
1.84,2.83,0.72,1.84,67.37,0
1.7,2.83,0.69,1.7,22.16,0
1.71,2.83,0.69,1.71,33.12,0
1.51,2.83,0.67,1.51,55.53,0
1.53,2.98,0.7,1.53,335.79,0
1.48,2.98,0.75,1.48,83.01,0
1.54,2.98,0.78,1.54,334.7,0
1.44,2.98,0.7,1.44,27.26,0
1.36,2.98,0.74,1.36,63.25,0
1.33,2.98,0.77,1.33,1.98,0
1.26,2.98,0.78,1.26,37.72,0
1.29,2.98,0.78,1.29,82.41,0
1.22,2.98,0.79,1.22,46.41,0
1.63,4.78,1.3,1.63,514.56,0
1.55,4.78,1.24,1.55,53.83,0
1.82,4.78,1.28,1.82,46.38,0
1.71,4.78,1.29,1.71,65.84,0
1.79,4.78,1.3,1.79,114.07,0
1.83,4.78,1.27,1.83,55.66,0
2.0,4.78,1.2,2.0,109.92,0
2.02,4.78,1.17,2.02,50.62,0
2.12,4.78,1.16,2.12,120.07,0
2.1,4.78,1.19,2.1,76.61,0
1.69,3.23,0.85,1.69,29.44,0
1.53,3.23,0.89,1.53,17.24,0
1.32,2.39,0.68,1.32,95.94,0
1.32,2.39,0.68,1.32,6.02,0
1.19,2.39,0.59,1.19,10.96,0
1.16,2.39,0.6,1.16,21.81,0
1.0,2.39,0.51,1.0,14.04,0
1.0,2.39,0.51,1.0,56.31,0
0.84,1.17,0.21,0.84,20.32,0
0.89,1.17,0.19,0.89,22.61,0
0.87,1.17,0.21,0.87,43.38,0
0.91,1.17,0.19,0.91,78.09,0
0.87,1.1,0.18,0.87,30.85,0
0.85,1.03,0.16,0.85,29.84,0
0.8,1.03,0.17,0.8,40.13,0
0.8,1.03,0.17,0.8,41.48,0
0.85,1.12,0.19,0.85,45.46,0
0.82,1.12,0.18,0.82,33.65,0
0.81,1.12,0.19,0.81,8.51,0
0.77,1.12,0.18,0.77,8.74,0
0.89,1.76,0.34,0.89,182.61,0
0.87,1.76,0.33,0.87,49.93,0
0.89,1.76,0.33,0.89,0.78,0
0.87,1.76,0.33,0.87,23.44,0
0.92,1.76,0.32,0.92,55.88,0
